date,vol,mret,indpro,indprol1,Agric_vol,Food_vol,Soda_vol,Beer_vol,Smoke_vol,Toys_vol,Fun_vol,Books_vol,Hshld_vol,Clths_vol,Hlth_vol,MedEq_vol,Drugs_vol,Chems_vol,Rubbr_vol,Txtls_vol,BldMt_vol,Cnstr_vol,Steel_vol,FabPr_vol,Mach_vol,ElcEq_vol,Autos_vol,Aero_vol,Ships_vol,Guns_vol,Gold_vol,Mines_vol,Coal_vol,Oil_vol,Util_vol,Telcm_vol,PerSv_vol,BusSv_vol,Hardw_vol,Softw_vol,Chips_vol,LabEq_vol,Paper_vol,Boxes_vol,Trans_vol,Whlsl_vol,Rtail_vol,Meals_vol,Banks_vol,Insur_vol,RlEst_vol,Fin_vol,Other_vol
1984-01-01,-2.4415276510033785,-0.013821,0.019597583953463,0.0046592847357427,0.3108451939672777,0.095328975617164,-0.032063535261538,-0.0266931530309482,-1.0399500717119337,0.0545179196297199,0.6042441870544729,0.1843442195829698,-0.1574106456679015,-0.1778963209268541,0.7796472813358277,0.3869446078740625,-0.1135236007677947,-0.1559380365864029,-0.1878471494243465,-0.33696079130595,0.0321761371467819,-0.3638616107594656,-0.5909460383801305,-0.3325624810376127,-0.0899666054412698,-0.006168912767025,-0.5464422037602386,0.0451899863534119,0.3835354002976571,0.1200523872331753,0.269686410076386,-0.100831073588027,-0.5234300802908987,0.7502180233077946,0.4041343483568379,0.9000577540153686,-0.4559722521013892,0.181935333622518,-0.0736387248455668,-0.0892083516913753,-0.2735672349956279,1.1885542946850252,0.0811421446374749,-0.5011965994690697,0.0860253292891281,0.4741943964703468,0.5607881808318961,-0.6566375231890715,-0.1583387485849745,0.4465041309906142,-0.1832003938506712,-0.2477252200546637,-0.5389950875844882
1984-02-01,-2.215467967429958,-0.038863,0.0046592847357427,0.0046713127510562,-0.0814299484599496,-0.0027985721767213,-0.3076252635239609,-0.0033067755773733,-0.5170026443116214,0.2738180384732092,0.2126957529455829,0.2950141716217485,-0.398873005548411,-0.1967933088113898,0.0745853754608636,0.3715851545718269,0.2662797546190818,-0.0460166191114401,-0.1228454595801804,-0.3967000127645776,-0.1169250742258201,-0.4325043028259596,-0.5597454771259087,-0.6965605979672742,-0.349409498781163,-0.064733991430895,-0.1302645605367279,0.2819471733568487,0.5578747387619003,0.3621801643232933,0.57435033459565,-0.0333023159456505,-0.2846913330221635,0.596934532461928,0.7013471563562407,0.3325353881903217,0.0115672942462138,0.4597284353428046,-0.2655637246778001,0.1409369110914592,0.1824358111665062,1.2375612853688822,-0.1108249753040356,-0.5057928361274413,0.3860291645291076,0.5021404675873493,0.3604082113512729,-0.6761407869506083,-0.0061224286492358,0.018590299706646,-0.2405503940052971,-0.2621495299830473,-0.4735324799267879
1984-03-01,-2.088956967166718,0.013777,0.0046713127510562,0.0059135830352623,-0.3382811803067174,-0.4508920978185313,-0.6347022882467792,0.2254355193300674,-0.398321557194901,0.0427606962432927,0.3954549432232976,0.4091683631658043,-0.0156236275266794,-0.4055717454335499,0.342460789891986,0.2996202332189319,-0.2779475241255223,-0.0381250676547823,-0.2022121532320195,-0.7117700535002437,-0.3353126299373891,-0.2427267102621634,-0.0811303795278152,-0.5664332184944797,-0.2950813791062876,-0.0922119738739439,-0.0727487893233096,0.1325686549877421,0.4915943060790333,0.6774964415206487,0.4157229295189738,0.4175949475194087,-0.2128968171944863,0.4674263332037393,0.3973302978213516,1.900094085277764,-0.0239060951109271,0.3758420664611552,-0.6900966027596236,-0.1897800066288409,-0.0838529671471889,1.5402434594539685,0.3207989232564182,-0.2418225687164675,0.0255847099621087,0.4295618747626146,0.1634085819099822,-0.6593003591982498,0.090492009063445,-0.0145277244880483,-0.2429136650882528,-0.3170614782937895,-0.8106349337688865
1984-04-01,-2.202550914908592,0.002938,0.0059135830352623,0.0053449660051319,0.3178742169036129,-0.5371474503451563,-1.227010453387964,0.0536469947347656,-0.3649710954957796,-0.2102694692695013,0.7292085670739182,0.5627363682482139,0.3216081621842172,-0.3076422988764639,-0.0272174186719236,0.1900693479183696,-0.4817433629225327,-0.2815217269572383,-0.1508915782358616,-0.6500327036133526,-0.4450410194106222,-0.1708585594265573,-0.3017978521414723,-0.1977108484089355,-0.0689026338778235,-0.0328811610895272,0.0032592194962962,0.184254260724336,0.2355609965219654,0.7738440442833516,-0.0257105594084926,0.0982303753607902,-0.4397977235770237,-0.0347385866510805,-0.02071414699056,2.184115182902583,-0.1850536087855185,0.2516247785153679,-0.3984061889584448,0.3908702707530209,-0.2555079567142408,2.0219922238443724,0.1003857878060063,-0.0792476780100284,0.3765374090971005,0.3778189197107491,0.0102480420389035,-0.7431536547917855,-0.0642338439571008,0.4758322714780575,-0.0994692185668957,-0.2415964237435756,-0.644134639607886
1984-05-01,-2.2958918172978127,-0.053505,0.0053449660051319,0.0035579382330799,0.3589762687726056,-0.25461734641917,-0.6976586613260801,0.0549013599547191,0.4152904929396307,-0.0044161174788635,0.738459433569149,0.1393084185974603,0.2116378066494777,0.0722526975486443,0.2308410697755024,0.3790290601623358,-0.9317479520507468,-0.4535716288410282,0.0687614409414952,-0.2971883411074818,-0.2562420485753029,0.0697585127069916,-0.298315365895846,-0.2403816583460045,-0.2646675666675622,-0.4497868256953764,-0.0564759995960987,-0.0101627440885251,-0.146698206425573,0.9331382456805872,-0.2592125373082159,0.0780146924880652,-0.6705269754768872,-0.2669187385808102,0.0242207048772185,2.193059380327344,-0.217928067510341,0.295599143726484,-0.3357702902395486,0.2793312633191835,0.087845285761667,1.5564498482866682,0.1219166274754619,-0.230033499147431,0.3119589455780196,0.4301245232161845,-0.4653931606993136,-0.6798613243187388,-0.0633035007001029,0.497334509919953,-0.0814883876399956,-0.2061724835587666,-0.5553343921468901
1984-06-01,-2.1885868677699745,0.023716,0.0035579382330799,0.0027781447334076,-0.1123554987898599,0.4977389679065956,-0.8544009903904123,-0.1464134416901596,-0.1279548280443229,0.6349044811174827,1.124632234942722,0.1835863203966876,-0.0372414524960872,-0.0569798984373101,0.015584802339865,0.8523602534075807,-0.8455115922512902,-0.5923642042673849,0.1705929289848439,-0.1106431012956271,-0.0548465627547073,0.2129741355401883,-0.4008307647323812,-0.2574145655013957,-0.2860650056328788,0.0734957521723694,0.2696778323283879,-0.1919267432120587,-0.3249456556736499,0.1515964503077728,0.0788510280661854,-0.0003083877554115,-0.1948222247466346,-0.0249075237193321,-0.6179293209129098,2.094402590402185,-0.2036731417784201,0.2488589894324596,0.009589872932884,-0.1057770965985981,0.0503555365553427,0.9483024479097454,0.0696652478668149,-0.4330549612463624,-0.1058453907231058,0.7962493217559503,0.0571412831288965,-0.6163460641959945,0.112408513510163,0.119974852831903,-0.3473772248264797,-0.2520075500084582,-0.5555805606598265
1984-07-01,-2.293806132936733,-0.0204829999999999,0.0027781447334076,0.0012037317132076,-0.2443516882752614,0.1463508425534259,-0.6021640560684371,-0.2214127339248394,-0.55226675109287,1.0329268535526317,1.0393517436656536,-0.0424542460303368,-0.361714850247344,-0.5096762369973995,-0.2067267037142693,0.7327792547145497,0.1653885654201989,-0.7400847812232144,0.0348919668880489,0.1201012119180948,-0.3799421556985599,-0.0480598112582474,-0.2556928444550305,-0.0222432962341884,-0.3136645778934511,0.602829209548476,0.0380778748988008,-0.2723484945321838,-0.1751433558554133,0.3751957829300442,0.7543147917448476,0.2085118256167497,-0.4214937694806585,-0.218481225672563,-0.5526736228295912,1.932655312659098,-0.2458688314368332,0.0227969723932316,-0.2061540409260605,-0.0300493612360042,0.6076873158408234,0.9761199268452222,0.1404112575809613,-0.5202067788061544,-0.2048981700958069,0.5279851167869897,0.3147312352139006,-0.5372383238924606,-0.0666315964968826,0.150577556264152,-0.2926307039302467,-0.3036402527442994,-0.5765907812967856
1984-08-01,-1.878233116311233,0.108067,0.0012037317132076,-0.0028005435745379,-0.1954987981534748,-0.0059713691717198,-0.4882651899408382,-0.0810876409888186,-0.579347808135594,0.718590893172067,0.3734363252062773,-0.0294109797242505,-0.3507379778864594,-0.2086188434725011,-0.1532930585888375,0.1326145381013003,-0.1090677050186391,-0.9194938616530964,0.0762312909226363,0.1554260943099709,-0.403859922152938,-0.2565491731662446,-0.3377824224598366,-0.1569004701901131,-0.1998592415106893,0.6436724602496112,-0.0428964425139782,-0.5291355574581991,-0.0400518462548424,0.4745025190685465,0.7502340605495151,0.7195988496053956,-0.1749895649615552,0.4492346342611685,-0.2446579992355048,1.1333008209300717,0.1050412390712118,0.5348646333035441,-0.0667185685063063,0.1559035667443666,0.1451004314017026,1.1053410863003543,0.0516386130719763,-0.7897528752421225,0.7590006317003231,0.9799230599867936,0.2693644602404154,-0.8315962848640723,-0.2929029959037853,0.4606499093861342,-0.4223150637321001,-0.3358473301453368,-0.5412826561061933
1984-09-01,-2.111394040466014,0.000695,-0.0028005435745379,-0.0004543351839347,0.4473019917389907,-0.1229105780351482,-0.6328404268588382,0.0179151746681752,-0.4977517898900208,1.0111623174973454,0.051867828421286,0.0673977463907362,0.2177013213207451,-0.2110317877906811,0.3493346844463078,0.0888735701979767,-0.3175482084032207,-0.7340694783956283,-0.0048181496936534,-0.0782401371629945,-0.4943119886701065,-0.3276277655333408,-0.253933592907208,-0.4530438867940964,0.2263410621146211,0.6261649773014024,0.189306072902872,-0.0682138743933414,0.6417618224971757,0.7896038004173775,0.4327274679716778,0.5182070567228529,-0.0495888902932957,0.0938436026699488,-0.0911284918046759,0.4765717241501756,-0.0301799408833634,0.1926431675353365,-0.4611700555007162,-0.2800737361966918,0.0738111327848919,1.0988394307254916,0.1538905688075469,-0.7382507474244488,0.3723459774180038,0.6516927360438711,-0.1462696699921729,-0.7383738078522799,0.1093019362831315,0.2578783039652731,-0.3716260500632868,-0.4399205385934008,-0.5216773620909361
1984-10-01,-2.281822115493552,0.0003839999999999,-0.0004543351839347,0.0033355650319477,0.1686225909016607,-0.3270436916421447,-0.6408027887407798,-0.1966938196487041,-0.6403769047103063,1.3802015058734498,0.0511993371579463,0.087625587637937,0.1846442085355408,-0.513365276925528,-0.0811277970433644,0.3125627188263734,-0.2858424828700412,-0.5293300768253595,-0.1532898966372009,-0.2854829936523569,-0.0345935976519554,-0.5113470915098091,-0.093451250367016,-0.2110888651532255,0.1571601041243929,0.1843607887310561,0.0908788797963475,0.5731746915871063,1.0570259704541178,0.9806512110119844,0.1507796933528424,0.2691560374783337,-0.1647410442966546,0.5823331214964684,0.1129602522491965,0.535987249238799,-0.0547668310254275,-0.0153053093281617,-0.4846650265650606,-0.4849912564765971,0.044350422767088,1.0373976331806127,0.2223213715496251,-0.6773485460979476,0.3029986806142097,0.5260438281518485,0.0384710025966225,-0.6833990910147412,0.1058468979458651,0.1970641291321967,-0.2759466276745899,-0.7619292076764425,-0.4748740919361616
