date,RPI,W875RX1,DPCERA3M086SBEA,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,AWOTMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,WPSFD49207,WPSFD49502,WPSID61,WPSID62,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,M04128USM350NNBR,M08343USM232SNBR,M12003USM516NNBR,M12002USM511NNBR,M12003USM516NNBR,M1202AUSM510NNBR,M1220AUSM363SNBR,M1201AUSM348NNBR,M13021USM156NNBR,M13023USM156NNBR,M13025USM156NNBR,M09028USM474NNBR,CMRMTSPLx,RETAILx,HWI,HWIURATIO,CLAIMSx,CES0600000007,AWHMAN,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,CP3Mx,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,OILPRICEx,UMCSENTx,VIXCLSx
1856-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009478743954543845,,0.009478743954543845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00938974034983886,,0.00938974034983886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018519047767237673,,0.018519047767237673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009132483563272231,,0.009132483563272231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009132483563272231,,-0.009132483563272231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009216655104923532,,-0.009216655104923532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018692133012153,,-0.018692133012153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009478743954543845,,-0.009478743954543845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009478743954543845,,0.009478743954543845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00938974034983886,,0.00938974034983886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00938974034983886,,-0.00938974034983886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009478743954543845,,-0.009478743954543845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009569451016150587,,-0.009569451016150587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019418085857101808,,-0.019418085857101808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019802627296179764,,-0.019802627296179764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009950330853168765,,0.009950330853168765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04040953833787686,,-0.04040953833787686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0749013081731178,,-0.0749013081731178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022472855852059048,,-0.022472855852059048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011299555253933669,,0.011299555253933669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02272825107755594,,-0.02272825107755594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01142869582362227,,0.01142869582362227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055262678675049415,,0.055262678675049415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02173998663640564,,-0.02173998663640564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010929070532190721,,0.010929070532190721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010929070532190721,,-0.010929070532190721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011049836186584727,,-0.011049836186584727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02197890671877545,,0.02197890671877545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
